call_day,ai_score,sunbiz_status,status,notes,name,owner_name,phone,category,address,locality,is_chain,website
1,65,ACTIVE,New,,"Bellas, Kathleen A, CPA","Castillo, Yolanda",(727) 546-6595,Bookkeeping Services,7034 79th St N,"Pinellas Park, FL 33781",False,http://melbycpa.com/
1,65,ACTIVE,New,,Professional Business Accounting,"Herrero, Lazaro G, Herrero, Amelia",(727) 539-0263,Bookkeeping Services,15201 Roosevelt Blvd Ste 112,"Clearwater, FL 33760",False,http://www.cpalargo.com/
2,65,ACTIVE,New,,Myers A Richard Cpa,"Myers, Michael A",(727) 344-1040,Bookkeeping Services,13137 66th St,"Largo, FL 33773",False,http://bartoncpa.com/
2,65,ACTIVE,New,,Dougherty John E Accounting,"Dougherty, Adam T",(727) 398-1760,Bookkeeping Services,7985 113th St,"Seminole, FL 33772",False,http://melbycpa.com/
2,65,ACTIVE,New,,Dougherty John CPA,"Dougherty, Adam T",(727) 398-1760,Bookkeeping Services,11313 Starkey Rd,"Largo, FL 33773",False,http://melbycpa.com/
1,65,ACTIVE,New,,Hammer & Company Pa,"Hammer, Mark R, Hammer, Joyce A.",(727) 392-1300,Bookkeeping Services,9373 Seminole Blvd,"Seminole, FL 33772",False,https://www.hammerpa.com/contact-us
1,65,ACTIVE,New,,Accounting Central Inc,"Poole, Brian G, Poole, Diane M",(727) 397-8003,Bookkeeping Services,10823 Seminole Blvd,"Largo, FL 33778",False,http://the-tax-shop.com/contact.php
1,65,ACTIVE,New,,Linda Jenkins CPA PA,"Jenkins, Linda D",(727) 449-9311,Bookkeeping Services,1433 S Missouri Ave,"Clearwater, FL 33756",False,http://www.cpafla.net/
2,65,ACTIVE,New,,Ambrose & Vardy Cpas Cpas,"Ambrose, Patrick K",(727) 289-7787,Bookkeeping Services,10773 70th Ave,"Seminole, FL 33772",False,http://www.vardy-cpa.com/
1,65,ACTIVE,New,,Cls Billing Services Inc,"Sweeney, Cheryl Lynn",(727) 289-6326,Bookkeeping Services,11350 66th St,"Largo, FL 33773",False,http://www.accuratebillingservices.net/cgi-sys/defaultwebpage.cgi
2,65,ACTIVE,New,,Waters CPA,"Waters, Sheryl T, Waters, Mcclendon Njr",(727) 724-4128,Bookkeeping Services,300 E Bay Dr,"Largo, FL 33770",False,https://www.waterscpagroup.com/contact.php
1,65,ACTIVE,New,,Dreslin Financial Services,"Dreslin, David G",(727) 393-7439,Bookkeeping Services,7985 113th St,"Seminole, FL 33772",False,http://www.dreslinfinancial.com/
1,65,ACTIVE,New,,Clevenger & Associates PA,"Clevenger, Walter M., Clevenger, David M",(727) 321-1283,Bookkeeping Services,4381 73rd Ave N,"Pinellas Park, FL 33781",False,https://www.clevengerandassociates.org/contact-us
2,65,ACTIVE,New,,Weiss & Company CPAs PA,"Weiss, Frank, Weiss, Rachel",(727) 523-8762,Bookkeeping Services,3233 E Bay Dr,"Largo, FL 33771",False,https://weisscompanycpa.com/
2,65,ACTIVE,New,,Schrader Accounting & Tax Inc,"Schrader, Carl D, Jr.",(727) 683-7560,Bookkeeping Services,801 W Bay Dr,"Largo, FL 33770",False,https://schraderaccounting.com/
1,65,ACTIVE,New,,Scott John G & Adele,"Ellington, Scott G, Shaffer, John A",(727) 596-1820,Bookkeeping Services,13932 Martinique Dr,"Seminole, FL 33776",False,https://www.accttaxco.com/
2,65,ACTIVE,New,,"Jackson and Associates, Cpa, PA","Jackson, Tracy, Jackson, Debra C",(727) 544-1120,Bookkeeping Services,10225 Ulmerton Rd Ste 10A,"Largo, FL 33771",False,https://jacksoncpafla.com/
1,65,ACTIVE,New,,Lacher McDonald & Co Cpa's PA,"Castner, Jason L, Robertson, Brett V, Robertson, Brett V, Loughran, Michael E",(727) 397-6614,Bookkeeping Services,5666 Seminole Blvd Ste 1,"Seminole, FL 33772",False,https://www.lachercpa.com/contact-us
1,65,ACTIVE,New,,Lacher McDonald & Co CPAs,"Castner, Jason L, Robertson, Brett V, Robertson, Brett V, Loughran, Michael E",(727) 397-6614,Bookkeeping Services,2189 Cleveland St,"Clearwater, FL 33765",False,https://www.lachercpa.com/contact-us
1,65,ACTIVE,New,,Fontana Cpa's,"Fontana, Eric M",(727) 799-9533,Bookkeeping Services,2530 Drew St,"Clearwater, FL 33765",False,http://fontanacpas.com/
1,65,ACTIVE,New,,Stapleton Smith Johnson & McDowell PA,"Johnson, Jeffrey, Mcdowell, Michael",(727) 381-1699,Bookkeeping Services,1700 66th St N Ste 304,"Saint Petersburg, FL 33710",False,http://www.sjmpa.com/9552.html
2,65,ACTIVE,New,,WILLIAM C SUNDBLOM CPA PA,"Sundblom, William C",(727) 581-6817,Bookkeeping Services,131 1st St NW,"Largo, FL 33770",False,http://wcs-cpa.com/
1,65,ACTIVE,New,,Vittax Advisory,"Vitraelli, Richard Leonard, Vitraelli, Deborah Pauley",(727) 447-1190,Bookkeeping Services,251 Windward Psge Ste G,"Clearwater Beach, FL 33767",False,https://vittax.com/contact-us
1,65,ACTIVE,New,,"Visionary Financial Services, Inc.","Scopel, Robert R, Scopel, Lisa A",(727) 510-6020,Bookkeeping Services,4700 37th St N,"Saint Petersburg, FL 33714",False,http://www.visionaryfinancialservices.com/
1,65,ACTIVE,New,,Widget Bookkeeping & Tax,"Shapero, Charles D, Shapero, Caralee H",(727) 953-9493,Bookkeeping Services,50 S Belcher Rd,"Clearwater, FL 33765",False,https://www.widgetcpa.com/contact-us
1,65,ACTIVE,New,,"Linda A Stortz CPA, P.A.","Stortz, Linda A, Stortz, Linda A",(727) 391-7373,Bookkeeping Services,"801 West Bay Drive, Suite 418","Largo, FL 33770",False,http://www.lstortzcpa.com/
1,65,ACTIVE,New,,"Linda A. Stortz, CPA, P.A.","Stortz, Linda A, Stortz, Linda A",(727) 391-7373,Bookkeeping Services,10575 68th Ave Ste A-2,"Seminole, FL 33772",False,http://www.lstortzcpa.com/
2,65,ACTIVE,New,,Rush Florida Filings,"Erens, Richard B",(727) 410-4211,Bookkeeping Services,,"Belleair Bluffs, FL 33770",False,https://www.pcta-pespa.org/contact
1,65,ACTIVE,New,,Sunset Accounting,"Bloom, Joseph P, Bloom, Catherine",(727) 386-8291,Bookkeeping Services,,"Dunedin, FL 34698",False,https://sunsetaccounting.net/
1,65,ACTIVE,New,,Fox and Associates CPA,"Fox, Jeffrey M",(727) 530-0036,Bookkeeping Services,1250 Belcher Rd S Ste 120,"Largo, FL 33771",False,https://busadvisory.com/
2,65,ACTIVE,New,,A A Allied Tax Accounting,"Dergham, Jessica",(727) 577-1000,Bookkeeping Services,6400 Seminole Blvd,"Seminole, FL 33772",False,http://taxaaa.com/contact-us.html
2,65,ACTIVE,New,,Small Business Accounting Of Pinellas Inc,"Rousseau, Heather, Rousseau, Patrice",(727) 576-0766,Bookkeeping Services,9375 US Highway 19 N,"Pinellas Park, FL 33782",False,https://www.smallbusinessacctngofpinellas.com/contact.php
2,65,ACTIVE,New,,DWM General Accounting,"Maxey, Dennis W",(727) 259-9807,Bookkeeping Services,568 Seacrest Dr,"Largo, FL 33771",False,http://generalaccountingsystems.net/
2,65,ACTIVE,New,,B & M Tax and Accounting Office,"Niemiec, Beata",(727) 549-2122,Bookkeeping Services,4326 Park Blvd N Ste G,"Pinellas Park, FL 33781",False,http://www.barthlettandmorrow.com/contactmap.html
2,65,ACTIVE,New,,Bollenback & Forret PA,"Patrick, Suzanne E, Buschart, Richard G",(727) 446-5858,Bookkeeping Services,1000 Pinellas St,"Clearwater, FL 33756",False,http://www.bollenback.com/
2,65,ACTIVE,New,,Jeffrey Shimko CPA,"Hirsh, Jeffrey S",(727) 398-6487,Bookkeeping Services,10833 70th Ave,"Seminole, FL 33772",False,http://melbycpa.com/
1,65,ACTIVE,New,,Bookkeeping Service By Vicki Inc,"Vigna, Victoria, Long, Kerry A",(727) 546-3797,Bookkeeping Services,6990 82nd Ave N,"Pinellas Park, FL 33781",False,https://babaainc.com/
2,65,ACTIVE,New,,Quick Books Tax & Accounting Inc,"Dooley, Michael",(727) 581-3112,Bookkeeping Services,1890 W Bay Dr,"Largo, FL 33770",False,https://schraderaccounting.com/
2,65,ACTIVE,New,,"JACK TANENBAUM, CPA, PA","Tanenbaum, Jack",(727) 510-6688,Bookkeeping Services,13800 Park Blvd Ste 205,"Seminole, FL 33776",False,http://www.pambrosecpa.com/
2,65,ACTIVE,New,,Denise Associates of Florida,"Stephenson, Denise A.",(727) 216-6294,Bookkeeping Services,1915 E Bay Dr Ste B2,"Largo, FL 33771",False,http://jacksoncpafla.com/
2,65,ACTIVE,New,,Canter & Mcdaniel Cpa'sn,"Canter, Richard B, Gonzalez, B. Maria M",(727) 585-5599,Bookkeeping Services,2100 W Bay Dr,"Largo, FL 33770",False,http://melbycpa.com/
2,65,ACTIVE,New,,Cormier & Rabb Cpa Pa,"Cormier, Kathleen A",(727) 796-2459,Bookkeeping Services,28163 US Highway 19 N,"Clearwater, FL 33761",False,https://cormierandrabb.com/contact-us
1,65,ACTIVE,New,,Pearce Accounting,"Pearce, David L",(727) 584-5821,Bookkeeping Services,12525 Walsingham Rd,"Largo, FL 33774",False,http://the-tax-shop.com/contact.php
2,65,ACTIVE,New,,Glatthorn & Company PA,"Glatthorn, Gina M",(727) 347-5100,Bookkeeping Services,,"Saint Petersburg, FL 33707",False,http://melbycpa.com/
1,65,ACTIVE,New,,"Jill A Bender, CPA, PA","Bender, Jill A",(727) 644-7585,Bookkeeping Services,13588 Park Blvd.,"Seminole, FL 33776",False,http://melbycpa.com/
2,65,ACTIVE,New,,Deyoung & Associates Taxes & Accounting,"Levy, Alan, Levy, Janet, Levy, Janet",(727) 586-0479,Bookkeeping Services,619 Highland Ave N,"Largo, FL 33770",False,http://jacksoncpafla.com/
1,65,ACTIVE,New,,"Joel E. Berman CPA, PA","Berman, Joel E",(727) 587-0376,Bookkeeping Services,801 W Bay Dr Ste 435,"Largo, FL 33770",False,http://jebtops.com/
1,65,ACTIVE,New,,Medenet,"Patel, Vaishali, Trevidi, Chintan, Patel, Kalpesh",(727) 823-2188,Bookkeeping Services,12225 28th St N,"Saint Petersburg, FL 33716",False,http://www.medenet.net/contact.html
1,65,ACTIVE,New,,Gilbert Judith A Cpa,"Gilbert, Bruno, Karazoun, Khaled",(727) 446-4725,Bookkeeping Services,300 S Prospect Ave,"Clearwater, FL 33756",False,http://melbycpa.com/
1,65,ACTIVE,New,,Robert N Todd and Company,"Todd, Robert N, Todd, Ryan E",(727) 539-0499,Bookkeeping Services,4625 E Bay Dr Ste 303,"Clearwater, FL 33764",False,https://www.robertmtoddpa.com/
1,65,ACTIVE,New,,Boylan & Boylan Inc,"Boylan, Joseph J",(727) 796-4970,Bookkeeping Services,600 Bypass Dr,"Clearwater, FL 33764",False,http://boylanandboylan.com/
2,65,ACTIVE,New,,Mark R Hammer CPA,"Hammer, Mark R, Hammer, Joyce A.",(727) 392-1300,Bookkeeping Services,9373 Seminole Blvd,"Seminole, FL 33772",False,http://melbycpa.com/
1,65,ACTIVE,New,,"TAP Services of Florida, Inc.","Sanford, Chris K",(727) 339-1239,Bookkeeping Services,13080 Belcher Rd S,"Largo, FL 33773",False,https://tapservicesfl.com/
2,65,ACTIVE,New,,Patrick Financial Group Inc,"Ambrose, Patrick K, Ambrose, Rosemarie",(727) 398-4467,Bookkeeping Services,10773 70th Ave,"Seminole, FL 33772",False,https://www.pambrosecpa.com/contact.htm
2,65,ACTIVE,New,,Davenport Business Services,"Davenport, Douglas Jsr.",(727) 581-9690,Bookkeeping Services,451 Central Park Dr,"Largo, FL 33771",False,http://www.ddavenport.com/
3,50,ACTIVE,New,,All Day Plumbing,"Wiggins, Mufmarr",(727) 803-2549,Plumbers,2200 34th St N,"Saint Petersburg, FL 33713",False,https://thedrainteam.com/
4,50,ACTIVE,New,,Cass Plumbing Inc,"Cass, David L Jr",(727) 873-0272,Plumbers,2655 Ulmerton Rd,"Clearwater, FL 33762",False,http://www.cassplumbingtampabay.com/
3,50,ACTIVE,New,,E* Star Electric Inc,"Vogel, Edmund A",(727) 572-4921,Electricians,3734 131st Ave N,"Clearwater, FL 33762",False,http://estarelectricinc.com/
2,50,ACTIVE,New,,Formula Plumbing Service Inc,"Johnson, Joseph W",(727) 999-9682,Plumbers,3933 25th Ave N,"Saint Petersburg, FL 33713",False,https://formulaplumbing.com/
4,50,ACTIVE,New,,E Star Electric Inc,"Vogel, Edmund A",(727) 572-8909,Electricians,4600 140th Ave N Ste 200,"Clearwater, FL 33762",False,http://estarelectricinc.com/
2,50,ACTIVE,New,,All Electrical Solutions,"Sanchez, Tomas, Sanchez, Mariana, Sanchez, Mariana, Sanchez, Tomas",(727) 306-1676,Electricians,2769 Whitney Rd,"Clearwater, FL 33760",False,https://electricalsolutionsgrp.com/
4,50,ACTIVE,New,,"Cass Plumbing, Inc.","Cass, David L Jr",(727) 821-0033,Plumbers,5447 Haines Rd N,"St Petersburg, FL 33714",False,http://cassplumbingtampabay.com/
3,50,ACTIVE,New,,"Home Team Plumbing, Inc","Haberstroh, Scott A",(727) 310-4111,Plumbers,5633 70th Ave N,"Pinellas Park, FL 33781",False,https://www.hometeamplumbers.com/
3,50,ACTIVE,New,,Kweller David,"Kweller, David A",(727) 517-9211,Plumbers,309 Harbor Dr,"Indian Rocks Beach, FL 33785",False,
2,50,ACTIVE,New,,Florida Gas & Plumbing Inc,"Harvey, Claudia D, Rose, Christopher W",(727) 498-8928,Plumbers,5680 66th St N,"Saint Petersburg, FL 33709",False,http://floridagasandplumbing.com/
3,50,ACTIVE,New,,Peter Lontakos Electrical,"Lontakos, Martha, Lontakos, Peter M",(727) 626-2308,Electricians,,,False,
3,50,ACTIVE,New,,Romo's Plumbing,"Romanski, Justin R, Romanski, Angela M",(727) 463-3393,Plumbers,2320 10th St SE,"Largo, FL 33771",False,https://thedrainteam.com/
4,50,ACTIVE,New,,Burton Electric Inc,"Burton, Brian P, Burton, Luann",(727) 393-4502,Electricians,8844 Ridge Rd,"Seminole, FL 33772",False,https://relongservices.com/
2,50,ACTIVE,New,,Eagle Sewer and Drain Cleaning Inc,"Koco, Artan",(727) 666-0532,Plumbers,8751 118th Way,"Seminole, FL 33772",False,https://plumbingeagle.com/
2,50,ACTIVE,New,,Sapphire Audio Visual Experts Inc,"Rodgers, John, Rodgers, Meredith, Rodgers, Meredith",(727) 373-6950,Electricians,2950 5th Ave S,"Saint Petersburg, FL 33712",False,https://sapphireavexperts.com/
2,50,ACTIVE,New,,Dunedin Plumbing Inc,"Wallace, Jerome, Wallace, Scott A, Wallace, Bryan T",(727) 477-0434,Plumbers,483 Patricia Ave,"Dunedin, FL 34698",False,http://www.dunedinplumbing.com/
4,50,ACTIVE,New,,James Electric of Tampa Bay,"Hutcherson, James M",(727) 851-9985,Electricians,4837 Central Ave,"Saint Petersburg, FL 33713",False,https://generatorsupercenteroftampa.com/
3,50,ACTIVE,New,,Dunedin Plumbing,"Wallace, Jerome, Wallace, Scott A, Wallace, Bryan T",(727) 275-2989,Plumbers,483 Patricia Ave,"Dunedin, FL 34698",False,http://www.dunedinplumbing.com/
4,50,ACTIVE,New,,Water Leak Detection Plumbing,"Reyes, Luis V, Reyes, Carmen R, Diener, Kenneth",(727) 258-5901,Plumbers,12417 Gulf Blvd,"Treasure Island, FL 33706",False,https://voxservices.net/plumbing/clearwater/fl/24862/waterleakdetection&repair
4,50,ACTIVE,New,,Water Plumbers,"Ramirez Silva, Adrian, Carvajal, Noelvis J, Ramirez , Anthony",(727) 300-1477,Plumbers,4040 Park Blvd N,"Pinellas Park, FL 33781",False,http://www.tampaplumber.net/
3,50,ACTIVE,New,,Ultra-Lum Enterprises Inc,"Ziomek, Michael, Ziomek, Diane",(727) 797-1900,Electricians,2664 Enterprise Rd,"Clearwater, FL 33763",False,https://relongservices.com/
4,50,ACTIVE,New,,Audio Video Design-CNSLTTN,"Harvey, Robert M, Jeffrey, Palmer A",(727) 667-5114,Electricians,351 S Mcmullen Booth Rd,"Clearwater, FL 33759",False,http://www.soundsathome.com/audio-video/house.htm
3,50,ACTIVE,New,,Forbes Plumbing,"Forbes, Gary S, Forbes, Diane T",(727) 544-0684,Plumbers,643 180th Ave E,"Redington Shores, FL 33708",False,https://thedrainteam.com/
4,50,ACTIVE,New,,Fixture Installation & Repair,"Oneill, Dorothy J, Oneill, Michael J",(727) 201-3913,Plumbers,4801 49th St N,"Saint Petersburg, FL 33709",False,https://advancedpumpandwell.com/
4,50,ACTIVE,New,,C Lacey Plumbing,"Lacey, Janet, Lacey, Donna",(727) 581-9883,Plumbers,1402 Clearwater Largo Rd N,"Largo, FL 33770",False,http://www.claceyplumbing.com/
2,50,ACTIVE,New,,All Systems Electrical,"Kachmar, Anthony Npd",(727) 568-9000,Electricians,843 93rd Ave N,"Saint Petersburg, FL 33702",False,http://www.allphaseelectricfl.com/
4,50,ACTIVE,New,,Estar Electric Inc,"Vogel, Edmund A",(727) 572-8909,Electricians,1770 Commerce Ave N,"Saint Petersburg, FL 33716",False,http://estarelectricinc.com/
4,50,ACTIVE,New,,Apartment Electricians,"Ernesto Poma, Mauricio, Eustasio Pita, Rodolfo, Marreco Sardenberg, Marcello",(727) 308-3844,Electricians,1200 7th Ave N,"Saint Petersburg, FL 33705",False,http://www.localfloridaelectrician.com/
4,50,ACTIVE,New,,Antone's Plumbing Inc,"Yurkovich, Anthony E., Yurkovich, Brad M, Yurkovich, Chad A",(727) 343-4193,Plumbers,6412 7th Ave N,"Saint Petersburg, FL 33710",False,http://antonesplumbing.com/
3,50,ACTIVE,New,,Everingham Electric Inc,"Everingham, Chris",(727) 422-8455,Electricians,3620 18th Ave S,"Saint Petersburg, FL 33711",False,https://everinghamelectric.com/contact_us.html
3,50,ACTIVE,New,,Imperial Electric Service Of Pinellas Inc,"Houghton, Brian, Houghton, Roberta",(727) 535-0708,Electricians,1411 S Hercules Ave,"Clearwater, FL 33764",False,http://pcsb.org/frontier-es
4,50,ACTIVE,New,,Jim The Electrician Inc,"Lonsberry, James, Lonsberry, Karen",(727) 393-1201,Electricians,8550 119th St,"Seminole, FL 33772",False,http://www.jameswknightelectric.com/
3,50,ACTIVE,New,,Lane Valente Industries,"Lane, George, Valente, Paul, Macmillan, Dave",(727) 532-0234,Electricians,13719 65th St,"Largo, FL 33771",False,https://relongservices.com/
3,50,ACTIVE,New,,Jim Kenney Electric Inc,"Kenney, Jim, Kenney, Donna",(727) 596-2023,Electricians,12800 Sophia Cir,"Largo, FL 33774",False,http://www.jameswknightelectric.com/
2,50,ACTIVE,New,,Electric Current Inc,"Mcentegart, John L, Mcentegart, Kelley",(727) 946-7168,Electricians,6400 10th St N,"Saint Petersburg, FL 33702",False,https://voxservices.net/electrician/largo/fl/11117/currentelectric
3,50,ACTIVE,New,,Fla Electric & Design,"Howse, Alan J",(727) 446-2100,Electricians,1964 Carroll St,"Clearwater, FL 33765",False,http://flapools.com/
4,50,ACTIVE,New,,J And K Electric Inc,"Kuzdale, Robert T",(727) 323-2288,Electricians,2712 20th Ave N,"Saint Petersburg, FL 33713",False,https://rkelectricinc.net/contact-us
4,50,ACTIVE,New,,Peoples Plumbing Service,"Slaughter, Franklin D, Slaughter, Jr., Franklin D",(727) 593-2264,Plumbers,14680 118th Ave,"Largo, FL 33774",False,https://www.peoplesplumbingservice.com/index.html
4,50,ACTIVE,New,,P & L Electric Inc,"Schultz, Walter F, Poletz, Lisa",(727) 573-2010,Electricians,4765 Spring Ave,"Clearwater, FL 33762",False,https://relongservices.com/
4,50,ACTIVE,New,,Kenneth A Perry Electric Inc,"Perry, Diana L, Perry, Damon L",(727) 321-8550,Electricians,3121 Lown St N,"Saint Petersburg, FL 33713",False,http://www.localfloridaelectrician.com/
3,50,ACTIVE,New,,Ecc -Electrical Construction & Communications Inc,"Cuff, Edward, Cuff, Edward, Cuff, Edward, Cuff, Edward",(727) 545-8468,Electricians,6510 118th Ave,"Largo, FL 33773",False,https://www.eccfl.com/
2,50,ACTIVE,New,,"East-West Electric, Inc","Glass, Jeffrey D",(727) 771-9403,Electricians,2150 Range Rd,"Clearwater, FL 33765",False,http://www.east-westelectric.com/
3,50,ACTIVE,New,,East-West Electric Inc,"Glass, Jeffrey D",(727) 461-6494,Electricians,2111 Sunnydale Blvd,"Clearwater, FL 33765",False,http://www.east-westelectric.com/
4,50,ACTIVE,New,,Allied Electrical Systems,"Schoenberger, Russell",(727) 323-3596,Electricians,po box 11881,"Saint Petersburg, FL 33711",False,http://alliedelectricalsystems.com/
4,50,ACTIVE,New,,Osteen Electric Inc,"Totten, Harvey",(727) 397-1311,Electricians,11690 Walsingham Rd,"Largo, FL 33778",False,https://relongservices.com/
3,50,ACTIVE,New,,Aron Electric Inc,"Earle, Charles",(727) 321-5231,Electricians,2738 20th Ave N,"Saint Petersburg, FL 33713",False,http://www.localfloridaelectrician.com/
3,50,ACTIVE,New,,"Etc Electric, Inc","Bennett, Fenton J, Iii",(727) 446-8658,Electricians,215 2nd Ave SW,"Largo, FL 33770",False,http://molex.com/
3,50,ACTIVE,New,,Plumbing Gas Leak Detection,"Santeliz, Cesar A, Maruri, Victoria V",(727) 223-1028,Plumbers,795 Indian Rocks Rd N,"Belleair Bluffs, FL 33770",False,http://www.coasttocoast.com/
3,50,ACTIVE,New,,Allan Sheets Electric Inc,"Sheets, Howard A",(727) 418-7455,Electricians,11556 110th Ter,"Largo, FL 33778",False,https://relongservices.com/
2,50,ACTIVE,New,,Circuit Electric Services Inc,"Thomas, Henry, Thomas, Kirsten",(727) 391-9269,Electricians,8095 Willow Ct,"Seminole, FL 33776",False,http://www.pcclb.com/
3,50,ACTIVE,New,,Residential Electricians,"Marciano, Robert",(727) 308-3824,Electricians,3950 3rd St N,"Saint Petersburg, FL 33703",False,https://gulfcoastelectric.com/
4,50,ACTIVE,New,,Trevino Electric Inc,"Trevino, Jose G, Sr",(727) 804-9541,Electricians,3067 66th Way N,"Saint Petersburg, FL 33710",False,
3,50,ACTIVE,New,,Jackson Brothers Electric Inc,"Jackson, John Neil",(727) 343-3189,Electricians,6351 26th Ave N,"Saint Petersburg, FL 33710",False,http://jacksontransformer.com/
3,50,ACTIVE,New,,Dunedin Electric Co.  Inc.,"Martin, Bradley A., Martin, Wesley, Martin, Sandra",(727) 361-6021,Electricians,2300 Congress Avenue,"Clearwater, FL 33763",False,http://www.dunedinelectric.com/
3,50,ACTIVE,New,,Montgomery Electrical Services Inc,"Montgomery, Charles, Montgomery, Christine",(727) 447-1540,Electricians,1709 Sherwood St,"Clearwater, FL 33755",False,http://montgomeryelec.com/
4,50,ACTIVE,New,,Lightning Plumbing Service Inc,"Hedge, Kent B",(727) 688-3366,Plumbers,2071 Druid Park Dr N,"Clearwater, FL 33764",False,http://lightningbobservices.com/
4,50,ACTIVE,New,,Commercial Electrical Contracting Inc,"Mullaney, Michael T, Mullaney, Juanita",(727) 328-1700,Electricians,2220 1st Ave S,"Saint Petersburg, FL 33712",False,http://commercialcontractingsystems.com/
4,50,ACTIVE,New,,Raz Electric Inc,"Hill, Robert J",(727) 527-0172,Electricians,2705 54th Ave N,"Saint Petersburg, FL 33714",False,http://www.raycoelectricinc.com/
3,50,ACTIVE,New,,Haseney Electrical Services Inc,"Haseney, John R",(727) 466-6454,Electricians,2100 Calumet St # 266,"Clearwater, FL 33765",False,http://montgomeryelec.com/
3,50,ACTIVE,New,,Ghekko Networks Inc,"Skinner, Nigel",(727) 576-5001,Electricians,11800 31st Ct N,"Saint Petersburg, FL 33716",False,https://www.ghekkonetworks.com/
